,Unnamed: 0,Date,Country_Region,Province_State,GDP,Urbanization,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
3952,4066,2/27/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,5.4,60.0,29.3,5.59,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3953,4067,3/19/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.0712,-74.8649,9.2,87.0,10.8,25.4,7.521052631578947,53.631578947368425,13.865789473684213,1.7113157894736843,3/12/2020,1.0,0.0
3954,4068,3/8/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,7.6,38.0,15.5,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
3955,4069,3/7/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,4.0,55.0,17.9,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3956,4070,2/15/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,-5.6,52.0,11.7,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3957,4071,3/2/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.7453,-74.0535,9.5,54.0,11.0,0.25,6.8578947368421055,57.55263157894736,12.35,0.1794736842105263,2/25/2020,1.0,0.0
3958,4072,2/28/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,0.8,40.0,21.8,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3959,4073,3/16/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,4.0,52.0,17.3,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3960,4074,3/1/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,0.7,47.0,11.5,0.0,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3961,4075,3/5/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,7.2,50.0,14.0,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3962,4076,3/14/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,9.8,32.0,21.8,0.0,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3963,4077,3/1/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,0.7,47.0,11.5,0.0,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
3964,4078,3/4/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.7453,-74.0535,10.1,51.0,18.7,0.25,6.8578947368421055,57.55263157894736,12.35,0.1794736842105263,2/25/2020,1.0,0.0
3965,4079,3/15/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.2589,-74.124,7.0,51.0,10.3,0.0,5.881081081081081,59.270270270270274,14.616216216216214,1.8397297297297293,3/10/2020,1.0,0.0
3966,4080,3/1/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.2589,-74.124,0.8,47.0,17.1,0.0,5.881081081081081,59.270270270270274,14.616216216216214,1.8397297297297293,3/10/2020,1.0,0.0
3967,4081,3/12/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,9.3,72.0,12.2,0.0,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
3968,4082,3/16/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,3.3,50.0,13.4,0.0,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
3969,4083,3/17/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,7.6,78.0,9.3,3.81,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3970,4084,3/3/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,39.9259,-75.1196,10.6,81.0,13.0,3.05,6.910526315789473,54.131578947368425,15.671052631578947,1.6844736842105263,2/17/2020,1.0,0.0
3971,4085,3/19/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.9263,-74.077,7.2,84.0,8.0,22.35,5.65,55.842105263157904,13.031578947368422,1.6573684210526316,3/8/2020,1.0,0.0
3972,4086,3/6/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,4.1,81.0,10.1,9.65,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
3973,4087,3/6/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.6976,-74.2632,4.9,81.0,16.4,9.14,6.55,53.131578947368425,16.994736842105265,1.8247368421052632,3/10/2020,1.0,0.0
3974,4088,3/10/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.7453,-74.0535,14.5,57.0,17.3,0.0,6.8578947368421055,57.55263157894736,12.35,0.1794736842105263,2/25/2020,1.0,0.0
3975,4089,3/15/2020,US,New Jersey,624.85,94.7,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,40.8568,-74.1285,7.7,39.0,9.3,0.0,5.649999999999999,55.842105263157904,13.031578947368429,1.6573684210526316,3/7/2020,1.0,0.0
