,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases
95117,3/20/2020,Mozambique,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-18.6657,35.5296,26.3,76.0,6.3,0.0,27.72432432432432,79.72972972972973,11.035135135135134,0.0,2/25/2020,0.0,0.0
95121,2/23/2020,Iran,0,Deaths,8,3,3/23/2020 8:00:09 AM,3/22/2020,32.0,53.0,15.6,26.0,8.7,0.0,14.82894736842105,28.263157894736842,9.757894736842104,0.0,3/22/2020,6.406929959313398,1685.0
95129,3/15/2020,Japan,0,Deaths,22,0,3/23/2020 8:00:09 AM,3/22/2020,36.0,138.0,3.6,60.0,13.9,0.0,6.515789473684211,58.473684210526315,14.176315789473682,0.0,3/22/2020,2.514866859365871,40.0
95133,2/24/2020,Ecuador,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-1.8312,-78.1834,24.5,70.0,5.6,0.0,24.500000000000007,74.63157894736842,6.736842105263159,0.0,3/22/2020,1.9343364202676694,14.0
95145,2/16/2020,Kuwait,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.5,47.75,16.4,46.0,14.7,0.0,19.75263157894736,51.60526315789474,15.034210526315794,0.0,2/23/2020,0.0,0.0
95149,3/11/2020,Iceland,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,64.9631,-19.0208,-1.3,96.0,23.3,0.0,-3.1629629629629625,77.07407407407408,15.6,0.0,3/15/2020,1.4953487812212205,5.0
95153,3/3/2020,Iraq,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,33.0,44.0,15.3,57.0,9.7,0.0,17.160526315789475,60.18421052631579,11.281578947368422,0.0,3/22/2020,2.114742526881128,20.0
95169,2/27/2020,Slovenia,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,46.1512,14.9955,2.0,79.0,5.6,0.0,5.052631578947367,76.13157894736842,6.578947368421052,0.0,3/22/2020,1.189207115002721,2.0
95173,2/29/2020,Paraguay,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-23.4425,-58.4438,27.3,50.0,14.7,0.0,28.17105263157894,56.13157894736842,12.171052631578947,0.0,3/22/2020,1.0,1.0
95177,3/8/2020,El Salvador,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,13.7942,-88.8965,29.8,47.0,18.3,0.0,29.2095238095238,55.61904761904762,12.757142857142858,0.0,3/13/2020,0.0,0.0
95201,2/29/2020,Venezuela,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,6.4238,-66.5897,33.2,47.0,10.6,0.0,32.8078947368421,47.526315789473685,14.673684210526316,0.0,2/26/2020,0.0,0.0
95209,3/10/2020,Lithuania,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,55.1694,23.8813,3.3,85.0,10.1,0.0,3.7928571428571436,72.5,14.132142857142854,0.0,3/22/2020,1.0,1.0
95213,3/6/2020,South Africa,0,Deaths,0,0,3/23/2020 8:00:09 AM,3/22/2020,-30.5595,22.9375,24.3,52.0,9.8,0.0,22.142105263157895,67.13157894736842,12.005263157894738,0.0,3/15/2020,0.0,0.0
95225,3/10/2020,"Korea, South",0,Deaths,54,1,3/23/2020 8:00:09 AM,3/22/2020,36.0,128.0,8.5,84.0,6.8,0.0,6.952631578947369,54.94736842105263,6.342105263157894,0.0,3/22/2020,3.19343686757474,104.0
