,Unnamed: 0,Date,Country_Region,Province_State,Case_Type,Cases,Difference,Prep_Flow_Runtime,Latest_Date,Lat,Long,avg_tmp,avg_RH,avg_wind,avg_precip,avg_m_tmp,avg_m_RH,avg_m_wind,avg_m_precip,max_date,growth_factor,max_cases,GDP
1605,1605,2/14/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5927,-81.8224,13.6,83,11.9,8.64,17.22105263,71.55263158,11.81578947,2.933947368,3/15/2020,1.0,0.0,
1606,1606,2/26/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5927,-81.8224,17.0,86,13.2,4.32,17.22105263,71.55263158,11.81578947,2.933947368,3/15/2020,1.0,0.0,
1607,1607,2/19/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,29.028,-81.0755,22.2,90,9.0,0.0,18.83684211,78.44736842,11.52105263,0.995789474,3/08/2020,1.0,1.0,
1608,1608,3/05/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5927,-81.8224,20.2,82,19.6,30.73,17.22105263,71.55263158,11.81578947,2.933947368,3/15/2020,1.0,0.0,
1609,1609,2/22/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.769,-86.9824,5.8,66,6.1,0.0,16.26578947,77.47368421,11.70526316,0.367631579,3/07/2020,1.0,1.0,
1610,1610,3/02/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.8946,-81.9098,17.9,69,14.1,0.0,20.17368421,75.55263158,13.65789474,0.100263158,3/09/2020,1.0,1.0,
1611,1611,2/23/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.1901,-80.3659,20.6,62,15.6,0.76,22.58421053,70.07894737,15.85789474,1.831315789,3/09/2020,1.0,3.0,
1612,1612,2/23/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,30.5773,-86.6611,8.1,84,3.0,0.0,15.29473684,82.92105263,9.381578947000001,2.479736842,3/09/2020,1.0,1.0,
1613,1613,3/08/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.8946,-81.9098,15.6,66,20.6,0.0,20.17368421,75.55263158,13.65789474,0.100263158,3/09/2020,1.0,1.0,
1614,1614,3/06/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,27.8764,-82.7779,19.4,68,25.7,0.0,21.16052632,68.63157895,14.95789474,0.487894737,3/20/2020,1.0,0.0,
1615,1615,3/06/2020,US,Florida,Confirmed,0,0,3/23/2020 8:00:09 AM,3/22/2020,26.1901,-80.3659,24.0,75,14.4,0.0,22.58421053,70.07894737,15.85789474,1.831315789,3/09/2020,1.0,3.0,
